case,task,subtask,score,value,alg_number,alg_name,phase
42,braintumor,BRATS_L1,DCS,0.299471497,1,BCVuniandes,1
42,braintumor,BRATS_L2,DCS,0.590232,1,BCVuniandes,1
42,braintumor,BRATS_L3,DCS,0.859027778,1,BCVuniandes,1
42,braintumor,BRATS_L1,HSD,0.803324,1,BCVuniandes,1
42,braintumor,BRATS_L2,HSD,0.7974115,1,BCVuniandes,1
42,braintumor,BRATS_L3,HSD,0.9336859,1,BCVuniandes,1
43,braintumor,BRATS_L1,DCS,0.77944191,1,BCVuniandes,1
43,braintumor,BRATS_L1,HSD,0.8534157,1,BCVuniandes,1
44,braintumor,BRATS_L1,DCS,0.704997367,1,BCVuniandes,1
44,braintumor,BRATS_L2,DCS,0.002688895,1,BCVuniandes,1
44,braintumor,BRATS_L3,DCS,0.62676399,1,BCVuniandes,1
44,braintumor,BRATS_L1,HSD,0.8451642,1,BCVuniandes,1
44,braintumor,BRATS_L2,HSD,0.13078108,1,BCVuniandes,1
44,braintumor,BRATS_L3,HSD,0.74335396,1,BCVuniandes,1
45,braintumor,BRATS_L1,DCS,0.758163926,1,BCVuniandes,1
45,braintumor,BRATS_L2,DCS,0.09700039,1,BCVuniandes,1
45,braintumor,BRATS_L3,DCS,0.644966847,1,BCVuniandes,1
45,braintumor,BRATS_L1,HSD,0.91487056,1,BCVuniandes,1
45,braintumor,BRATS_L2,HSD,0.7269429,1,BCVuniandes,1
45,braintumor,BRATS_L3,HSD,0.9995098,1,BCVuniandes,1
46,braintumor,BRATS_L1,DCS,0.782806085,1,BCVuniandes,1
46,braintumor,BRATS_L2,DCS,0.883191704,1,BCVuniandes,1
46,braintumor,BRATS_L3,DCS,0.860837501,1,BCVuniandes,1
46,braintumor,BRATS_L1,HSD,0.98397386,1,BCVuniandes,1
46,braintumor,BRATS_L2,HSD,1,1,BCVuniandes,1
46,braintumor,BRATS_L3,HSD,1,1,BCVuniandes,1
47,braintumor,BRATS_L1,DCS,0.178706385,1,BCVuniandes,1
47,braintumor,BRATS_L2,DCS,0.616640808,1,BCVuniandes,1
47,braintumor,BRATS_L1,HSD,0.69901043,1,BCVuniandes,1
47,braintumor,BRATS_L2,HSD,0.5675329,1,BCVuniandes,1
48,braintumor,BRATS_L1,DCS,0.171216423,1,BCVuniandes,1
48,braintumor,BRATS_L2,DCS,0.293014175,1,BCVuniandes,1
48,braintumor,BRATS_L1,HSD,0.47910514,1,BCVuniandes,1
48,braintumor,BRATS_L2,HSD,0.7128195,1,BCVuniandes,1
49,braintumor,BRATS_L1,DCS,0.479966064,1,BCVuniandes,1
49,braintumor,BRATS_L2,DCS,0.070021882,1,BCVuniandes,1
49,braintumor,BRATS_L3,DCS,0.837175034,1,BCVuniandes,1
49,braintumor,BRATS_L1,HSD,0.8400884,1,BCVuniandes,1
49,braintumor,BRATS_L2,HSD,0.96088433,1,BCVuniandes,1
49,braintumor,BRATS_L3,HSD,0.995287,1,BCVuniandes,1
50,braintumor,BRATS_L1,DCS,0.387073369,1,BCVuniandes,1
50,braintumor,BRATS_L2,DCS,0.767201161,1,BCVuniandes,1
50,braintumor,BRATS_L1,HSD,0.91964227,1,BCVuniandes,1
50,braintumor,BRATS_L2,HSD,0.81292665,1,BCVuniandes,1
51,braintumor,BRATS_L1,DCS,0.626399938,1,BCVuniandes,1
51,braintumor,BRATS_L2,DCS,0.683111342,1,BCVuniandes,1
51,braintumor,BRATS_L1,HSD,0.96306634,1,BCVuniandes,1
51,braintumor,BRATS_L2,HSD,0.5804306,1,BCVuniandes,1
52,braintumor,BRATS_L1,DCS,0.291417897,1,BCVuniandes,1
52,braintumor,BRATS_L2,DCS,0.661155753,1,BCVuniandes,1
52,braintumor,BRATS_L3,DCS,0.873521383,1,BCVuniandes,1
52,braintumor,BRATS_L1,HSD,0.756427,1,BCVuniandes,1
52,braintumor,BRATS_L2,HSD,0.86055964,1,BCVuniandes,1
52,braintumor,BRATS_L3,HSD,0.9967598,1,BCVuniandes,1
53,braintumor,BRATS_L1,DCS,0.877019615,1,BCVuniandes,1
53,braintumor,BRATS_L2,DCS,0.617969888,1,BCVuniandes,1
53,braintumor,BRATS_L3,DCS,0.88238934,1,BCVuniandes,1
53,braintumor,BRATS_L1,HSD,0.9232504,1,BCVuniandes,1
53,braintumor,BRATS_L2,HSD,0.7787081,1,BCVuniandes,1
53,braintumor,BRATS_L3,HSD,1,1,BCVuniandes,1
54,braintumor,BRATS_L1,DCS,0.155083587,1,BCVuniandes,1
54,braintumor,BRATS_L2,DCS,0,1,BCVuniandes,1
54,braintumor,BRATS_L1,HSD,0.38771367,1,BCVuniandes,1
54,braintumor,BRATS_L2,HSD,0,1,BCVuniandes,1
55,braintumor,BRATS_L1,DCS,0.666946463,1,BCVuniandes,1
55,braintumor,BRATS_L1,HSD,0.8810674,1,BCVuniandes,1
56,braintumor,BRATS_L1,DCS,0.905736413,1,BCVuniandes,1
56,braintumor,BRATS_L2,DCS,0.842483595,1,BCVuniandes,1
56,braintumor,BRATS_L3,DCS,0.721361949,1,BCVuniandes,1
56,braintumor,BRATS_L1,HSD,0.92942446,1,BCVuniandes,1
56,braintumor,BRATS_L2,HSD,0.9972215,1,BCVuniandes,1
56,braintumor,BRATS_L3,HSD,1,1,BCVuniandes,1
57,braintumor,BRATS_L1,DCS,0.650916806,1,BCVuniandes,1
57,braintumor,BRATS_L2,DCS,0.793985998,1,BCVuniandes,1
57,braintumor,BRATS_L3,DCS,0.591962906,1,BCVuniandes,1
57,braintumor,BRATS_L1,HSD,0.8651023,1,BCVuniandes,1
57,braintumor,BRATS_L2,HSD,0.99550474,1,BCVuniandes,1
57,braintumor,BRATS_L3,HSD,0.98948044,1,BCVuniandes,1
58,braintumor,BRATS_L1,DCS,0.603504207,1,BCVuniandes,1
58,braintumor,BRATS_L2,DCS,0.713205169,1,BCVuniandes,1
58,braintumor,BRATS_L3,DCS,0.544888197,1,BCVuniandes,1
58,braintumor,BRATS_L1,HSD,0.8080262,1,BCVuniandes,1
58,braintumor,BRATS_L2,HSD,0.9621573,1,BCVuniandes,1
58,braintumor,BRATS_L3,HSD,0.8858821,1,BCVuniandes,1
59,braintumor,BRATS_L1,DCS,0.812481383,1,BCVuniandes,1
59,braintumor,BRATS_L2,DCS,0.579333593,1,BCVuniandes,1
59,braintumor,BRATS_L3,DCS,0.739378754,1,BCVuniandes,1
59,braintumor,BRATS_L1,HSD,0.96852744,1,BCVuniandes,1
59,braintumor,BRATS_L2,HSD,0.9690848,1,BCVuniandes,1
59,braintumor,BRATS_L3,HSD,0.9750825,1,BCVuniandes,1
60,braintumor,BRATS_L1,DCS,0.767173936,1,BCVuniandes,1
60,braintumor,BRATS_L2,DCS,0.792954206,1,BCVuniandes,1
60,braintumor,BRATS_L3,DCS,0.816719087,1,BCVuniandes,1
60,braintumor,BRATS_L1,HSD,0.86167,1,BCVuniandes,1
60,braintumor,BRATS_L2,HSD,0.9696835,1,BCVuniandes,1
60,braintumor,BRATS_L3,HSD,0.9994878,1,BCVuniandes,1
61,braintumor,BRATS_L1,DCS,0.80248552,1,BCVuniandes,1
61,braintumor,BRATS_L2,DCS,0.578061434,1,BCVuniandes,1
61,braintumor,BRATS_L3,DCS,0.895346186,1,BCVuniandes,1
61,braintumor,BRATS_L1,HSD,0.9823956,1,BCVuniandes,1
61,braintumor,BRATS_L2,HSD,0.81149447,1,BCVuniandes,1
61,braintumor,BRATS_L3,HSD,0.99537635,1,BCVuniandes,1
62,braintumor,BRATS_L1,DCS,0.783807477,1,BCVuniandes,1
62,braintumor,BRATS_L2,DCS,0.242003367,1,BCVuniandes,1
62,braintumor,BRATS_L1,HSD,0.9645666,1,BCVuniandes,1
62,braintumor,BRATS_L2,HSD,0.56559145,1,BCVuniandes,1
63,braintumor,BRATS_L1,DCS,0.822116098,1,BCVuniandes,1
63,braintumor,BRATS_L2,DCS,0.235257668,1,BCVuniandes,1
63,braintumor,BRATS_L3,DCS,0.020689655,1,BCVuniandes,1
63,braintumor,BRATS_L1,HSD,0.9577062,1,BCVuniandes,1
63,braintumor,BRATS_L2,HSD,0.5548475,1,BCVuniandes,1
63,braintumor,BRATS_L3,HSD,0.46614853,1,BCVuniandes,1
64,braintumor,BRATS_L1,DCS,0.714495901,1,BCVuniandes,1
64,braintumor,BRATS_L2,DCS,0.580782581,1,BCVuniandes,1
64,braintumor,BRATS_L3,DCS,0.78052986,1,BCVuniandes,1
64,braintumor,BRATS_L1,HSD,0.9176246,1,BCVuniandes,1
64,braintumor,BRATS_L2,HSD,0.6414968,1,BCVuniandes,1
64,braintumor,BRATS_L3,HSD,0.9748243,1,BCVuniandes,1
65,braintumor,BRATS_L1,DCS,0.807270845,1,BCVuniandes,1
65,braintumor,BRATS_L2,DCS,0.513656994,1,BCVuniandes,1
65,braintumor,BRATS_L3,DCS,0.753569435,1,BCVuniandes,1
65,braintumor,BRATS_L1,HSD,0.9079246,1,BCVuniandes,1
65,braintumor,BRATS_L2,HSD,0.9262459,1,BCVuniandes,1
65,braintumor,BRATS_L3,HSD,0.9706163,1,BCVuniandes,1
66,braintumor,BRATS_L1,DCS,0.794908293,1,BCVuniandes,1
66,braintumor,BRATS_L2,DCS,0.488222141,1,BCVuniandes,1
66,braintumor,BRATS_L3,DCS,0.773719182,1,BCVuniandes,1
66,braintumor,BRATS_L1,HSD,0.9259616,1,BCVuniandes,1
66,braintumor,BRATS_L2,HSD,0.89882135,1,BCVuniandes,1
66,braintumor,BRATS_L3,HSD,0.9766893,1,BCVuniandes,1
67,braintumor,BRATS_L1,DCS,0.830844994,1,BCVuniandes,1
67,braintumor,BRATS_L2,DCS,0.152687674,1,BCVuniandes,1
67,braintumor,BRATS_L3,DCS,0.385298197,1,BCVuniandes,1
67,braintumor,BRATS_L1,HSD,0.9045107,1,BCVuniandes,1
67,braintumor,BRATS_L2,HSD,0.82374954,1,BCVuniandes,1
67,braintumor,BRATS_L3,HSD,0.92236024,1,BCVuniandes,1
68,braintumor,BRATS_L1,DCS,0.590767276,1,BCVuniandes,1
68,braintumor,BRATS_L2,DCS,0.002224634,1,BCVuniandes,1
68,braintumor,BRATS_L3,DCS,0.275736961,1,BCVuniandes,1
68,braintumor,BRATS_L1,HSD,0.85539633,1,BCVuniandes,1
68,braintumor,BRATS_L2,HSD,0.05338391,1,BCVuniandes,1
68,braintumor,BRATS_L3,HSD,0.2629045,1,BCVuniandes,1
69,braintumor,BRATS_L1,DCS,0.86475749,1,BCVuniandes,1
69,braintumor,BRATS_L2,DCS,0.026409482,1,BCVuniandes,1
69,braintumor,BRATS_L3,DCS,0.804331944,1,BCVuniandes,1
69,braintumor,BRATS_L1,HSD,0.90590674,1,BCVuniandes,1
69,braintumor,BRATS_L2,HSD,0.4671106,1,BCVuniandes,1
69,braintumor,BRATS_L3,HSD,0.92319435,1,BCVuniandes,1
70,braintumor,BRATS_L1,DCS,0.847922826,1,BCVuniandes,1
70,braintumor,BRATS_L2,DCS,0.048645564,1,BCVuniandes,1
70,braintumor,BRATS_L3,DCS,0.810181475,1,BCVuniandes,1
70,braintumor,BRATS_L1,HSD,0.91108894,1,BCVuniandes,1
70,braintumor,BRATS_L2,HSD,0.5462363,1,BCVuniandes,1
70,braintumor,BRATS_L3,HSD,0.9320242,1,BCVuniandes,1
71,braintumor,BRATS_L1,DCS,0.684103189,1,BCVuniandes,1
71,braintumor,BRATS_L1,HSD,0.80826277,1,BCVuniandes,1
72,braintumor,BRATS_L1,DCS,0.756397309,1,BCVuniandes,1
72,braintumor,BRATS_L2,DCS,0.142159122,1,BCVuniandes,1
72,braintumor,BRATS_L1,HSD,0.9172127,1,BCVuniandes,1
72,braintumor,BRATS_L2,HSD,0.364183,1,BCVuniandes,1
73,braintumor,BRATS_L1,DCS,0.748181083,1,BCVuniandes,1
73,braintumor,BRATS_L2,DCS,0.153859482,1,BCVuniandes,1
73,braintumor,BRATS_L1,HSD,0.93060964,1,BCVuniandes,1
73,braintumor,BRATS_L2,HSD,0.37967443,1,BCVuniandes,1
74,braintumor,BRATS_L1,DCS,0.724043349,1,BCVuniandes,1
74,braintumor,BRATS_L2,DCS,0,1,BCVuniandes,1
74,braintumor,BRATS_L1,HSD,0.97237086,1,BCVuniandes,1
74,braintumor,BRATS_L2,HSD,0.3234259,1,BCVuniandes,1
75,braintumor,BRATS_L1,DCS,0.880426209,1,BCVuniandes,1
75,braintumor,BRATS_L1,HSD,0.97393733,1,BCVuniandes,1
76,braintumor,BRATS_L1,DCS,0.94679559,1,BCVuniandes,1
76,braintumor,BRATS_L2,DCS,0.622720108,1,BCVuniandes,1
76,braintumor,BRATS_L3,DCS,0.823029309,1,BCVuniandes,1
76,braintumor,BRATS_L1,HSD,0.99935156,1,BCVuniandes,1
76,braintumor,BRATS_L2,HSD,0.8000046,1,BCVuniandes,1
76,braintumor,BRATS_L3,HSD,0.98889095,1,BCVuniandes,1
77,braintumor,BRATS_L1,DCS,0.224456114,1,BCVuniandes,1
77,braintumor,BRATS_L2,DCS,0.518046293,1,BCVuniandes,1
77,braintumor,BRATS_L3,DCS,0.735759933,1,BCVuniandes,1
77,braintumor,BRATS_L1,HSD,0.53396255,1,BCVuniandes,1
77,braintumor,BRATS_L2,HSD,0.80525523,1,BCVuniandes,1
77,braintumor,BRATS_L3,HSD,0.99620813,1,BCVuniandes,1
78,braintumor,BRATS_L1,DCS,0.565998782,1,BCVuniandes,1
78,braintumor,BRATS_L2,DCS,0.431232585,1,BCVuniandes,1
78,braintumor,BRATS_L1,HSD,0.9579083,1,BCVuniandes,1
78,braintumor,BRATS_L2,HSD,0.8028521,1,BCVuniandes,1
79,braintumor,BRATS_L1,DCS,0.715522852,1,BCVuniandes,1
79,braintumor,BRATS_L2,DCS,0.175814165,1,BCVuniandes,1
79,braintumor,BRATS_L3,DCS,0.74876234,1,BCVuniandes,1
79,braintumor,BRATS_L1,HSD,0.95095336,1,BCVuniandes,1
79,braintumor,BRATS_L2,HSD,0.76304495,1,BCVuniandes,1
79,braintumor,BRATS_L3,HSD,0.90892684,1,BCVuniandes,1
